ticker,year,marketcap,eps,earnings_rate,price,price_rate,pe_ratio,roe,sh_equity,sh_return,real_change
MSFT,2024,3002344,11.1,0.3087,403.98,0.291,36.53,38.4,238268,0.81,
MSFT,2023,2532081,9.72,0.2433,340.06,0.276,34.99,38.2,206223,1.7,18.8
MSFT,2022,1920840,9.7,0.245,256.25,0.2624,26.41,45.4,166542,1.79,32.71
MSFT,2021,2040304,8.12,0.2562,270.35,0.2821,33.3,46.2,141988,1.78,-5.21
MSFT,2020,1543306,5.82,0.1839,202.8,0.2657,34.85,39.5,118304,1.9,33.31
MSFT,2019,1026511,5.11,0.1956,133.78,0.2227,26.16,41.8,102330,1.83,51.59
MSFT,2018,757640,2.15,0.0756,98.39,0.1791,45.72,20.1,82718,2.19,35.96
MSFT,2017,532175,3.29,0.0949,68.7,0.1156,20.88,34.4,87711,4.46,43.22
MSFT,2016,402220,2.59,0.0967,50.75,0.0707,19.58,27.3,71997,5.62,35.37
MSFT,2015,357155,1.49,0.0336,43.68,0.0828,29.29,13.8,80083,4.43,16.2
MSFT,2014,344459,2.66,0.0864,41.51,0.068,15.61,25.7,89784,3.44,5.23
MSFT,2013,288489,2.61,0.141,34.45,0.0306,13.2,29.4,78944,3.02,20.49
MSFT,2012,256982,2.02,0.1184,30.61,0.029,15.14,26.3,66363,3.51,12.54
MSFT,2011,219252,2.73,0.1932,25.82,0.0014,9.47,45.0,57083,6.04,18.52
MSFT,2010,201656,2.13,0.137,22.88,-0.0412,10.75,42.3,46175,3.07,12.86
MSFT,2009,211546,1.63,0.0806,23.65,-0.0479,14.52,40.3,39558,7.11,-3.25
MSFT,2008,256209,1.9,0.1235,27.47,-0.0451,14.49,50.4,36286,5.81,-13.9
MSFT,2007,281934,1.44,0.1765,28.94,0.0371,20.05,40.5,31097,7.42,-5.09
MSFT,2006,237688,1.21,0.1969,22.77,0.1046,18.87,28.9,40104,4.94,27.09
MSFT,2005,268380,1.13,0.2575,24.76,0.231,21.9,22.4,48115,13.29,-8.03
MSFT,2004,308296,0.76,0.2586,28.54,0.2823,37.74,11.6,74825,0.49,-13.24
AAPL,2024,2815213,6.46,0.092,181.51,0.2645,28.37,156.0,74100,2.9,
AAPL,2023,2676737,6.16,0.1265,170.02,0.2733,27.6,160.8,62146,3.64,6.76
AAPL,2022,2417523,6.15,0.1371,149.08,0.3093,24.22,160.9,50672,3.8,14.04
AAPL,2021,2428612,5.67,0.1186,145.42,0.2741,25.65,144.1,63090,4.38,2.52
AAPL,2020,1920273,3.31,0.1142,110.67,0.3114,33.45,75.2,65339,6.44,31.4
AAPL,2019,988887,2.99,0.2043,53.54,0.2351,17.9,53.8,90488,8.42,106.71
AAPL,2018,1090307,3.0,0.2903,55.0,0.3053,18.32,48.7,107147,5.99,-2.67
AAPL,2017,796065,2.32,0.303,38.15,0.3029,16.46,36.3,134047,6.12,44.2
AAPL,2016,607331,2.09,0.3799,27.75,0.2429,13.29,35.6,128249,6.95,37.44
AAPL,2015,654159,2.32,0.4801,28.42,0.3555,12.25,42.9,119355,7.08,-2.36
AAPL,2014,603278,1.62,0.4964,24.78,0.3859,15.27,32.8,111547,7.92,14.69
AAPL,2013,438575,1.43,0.9325,16.93,0.5349,11.84,29.1,123549,3.85,46.41
AAPL,2012,625350,1.59,1.2623,23.89,0.6642,14.99,39.5,118210,-0.53,-29.15
AAPL,2011,374822,1.0,1.2013,14.48,0.6363,14.46,39.6,76615,-1.29,64.95
AAPL,2010,267053,0.55,0.7069,10.49,0.5878,19.06,33.8,47791,-1.95,38.11
AAPL,2009,163371,0.33,0.5143,6.53,0.4773,19.84,31.4,31640,-0.54,60.5
AAPL,2008,113605,0.25,0.5101,4.6,0.3981,18.57,31.9,22297,-1.44,41.97
AAPL,2007,133462,0.14,0.5317,5.51,0.5104,38.19,27.2,14532,-1.34,-16.52
AAPL,2006,65471,0.08,0.3036,2.77,0.4934,32.92,21.9,9984,-2.41,99.01
AAPL,2005,44147,0.06,0.2794,1.95,0.4421,33.24,20.1,7428,-10.6,42.04
AAPL,2004,14468,0.01,-0.4891,0.7,0.1976,54.39,5.7,5076,-6.58,180.51
NVDA,2024,1793541,7.66,0.7914,726.72,1.0007,95.8,70.4,33265,0.22,
NVDA,2022,500979,1.76,0.4702,201.44,0.7505,114.69,18.7,22101,1.2,260.76
NVDA,2021,571457,3.91,0.5074,228.95,0.7862,58.6,43.2,26612,-0.9,-12.02
NVDA,2020,321626,1.76,0.3648,130.37,0.6833,74.24,29.3,16893,-1.44,75.61
NVDA,2019,153294,1.15,0.4477,62.85,0.5227,54.83,25.7,12204,1.42,107.43
NVDA,2018,97692,1.7,-0.041,40.17,0.5204,23.59,46.9,9342,1.51,56.47
NVDA,2017,147458,1.27,0.0595,61.54,0.6765,48.39,47.0,7471,2.82,-34.73
NVDA,2016,60244,0.77,-0.1479,27.84,0.4642,36.16,33.7,5762,-13.66,121.07
NVDA,2015,15758,0.28,-0.252,7.26,0.1701,25.67,13.9,4469,0.33,283.72
NVDA,2014,11257,0.28,-0.1945,5.1,0.1632,17.84,14.8,4418,6.98,42.3
NVDA,2013,8846,0.19,0.0238,3.76,0.239,20.11,9.9,4456,6.79,35.55
NVDA,2012,7754,0.23,0.1393,3.13,0.2148,13.79,12.3,4828,-0.79,20.15
NVDA,2011,9105,0.24,0.0913,3.77,0.3702,15.67,15.2,4146,-4.7,-16.97
NVDA,2010,13805,0.11,-0.1067,6.0,0.3179,54.53,8.7,3181,-7.12,-37.16
NVDA,2009,8540,-0.03,0.5066,3.89,0.4257,-125.61,-2.8,2665,-0.26,54.42
AMZN,2024,1760768,2.95,-0.6806,170.88,0.2673,58.45,17.2,201875,-2.97,
AMZN,2023,1570153,2.95,-1.0665,152.38,0.385,51.61,17.2,201875,-2.97,12.14
AMZN,2022,856939,-0.27,0.0777,84.1,0.2702,-314.82,-2.0,146043,1.04,81.18
AMZN,2021,1691003,3.3,-0.6938,167.14,0.3912,50.68,28.0,138245,-0.96,-49.68
AMZN,2020,1634168,2.13,-0.8745,163.34,0.4379,76.61,27.1,93404,-1.17,2.33
AMZN,2019,916154,1.17,-1.0182,92.73,0.349,79.06,21.1,62060,-0.8,76.14
AMZN,2018,734416,1.03,-1.0041,75.4,0.3617,72.91,27.0,43549,-1.42,22.98
AMZN,2017,563535,0.32,-1.2177,58.7,0.5065,185.8,12.5,27709,-1.86,28.45
AMZN,2016,356313,0.25,-1.2093,37.59,0.395,150.28,13.9,19285,-1.47,56.18
AMZN,2015,316832,0.06,-1.3729,33.92,0.5367,531.6,4.9,13384,-3.25,10.8
AMZN,2014,143694,-0.03,-1.0393,15.55,0.3858,-596.24,-2.3,10741,0.65,118.13
AMZN,2013,182540,0.03,-0.8738,19.97,0.4177,666.2,3.0,9746,-2.65,-22.13
